CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM	DOCULECT
630	LIGHT (RADIATION)	light (radiation)	luz	luz	xabá, nete	Capanahua
2296	SUNRISE	sunrise	amanecer		xabacohi	Capanahua
632	LIZARD	lizard	lagartija	lagarto	xabo	Capanahua
1204	BARK	bark	corteza, cascara	casca da árvore	xacá, rahbi	Capanahua
1219	WORM	worm	lombriz, gusano	vermelho	xacó, nohin	Capanahua
1624	EMPTY	empty	vacío	vazio	xahban	Capanahua
1251	BELLY	belly	vientre, barriga	barriga	xahquin, chixanen	Capanahua
2272	HOT OR WARM	hot or warm	caliente	quente	xana	Capanahua
1286	HOT	hot	caliente	quente	xanahi	Capanahua
1341	HEAT UP	heat up	calentar		xanajaquin	Capanahua
1394	BONE	bone	hueso	ossos	xao	Capanahua
999	JOINT	joint	Articulaciones		xao rechi	Capanahua
1432	CUT	cut	cortar	cortar	xatequin, tsiposquin	Capanahua
1767	SCRAPE	scrape	raspar, rallar	raspar	xaxaquin, raxquiquin	Capanahua
1909	SHAKE	shake	sacudir	agitar	xayanquin	Capanahua
1837	VULVA	vulva	vulva	órgão sexual feminino	xebi	Capanahua
765	MOVE	move	mover	mover	xecaquin, cahuenquin	Capanahua
897	SWALLOW	swallow	tragar	tragar, engolir	xehaquin	Capanahua
731	BEVERAGE	beverage	bebida	bebida	xehati	Capanahua
708	SHINE	shine	brillar	brilhar	xehnati, xabati	Capanahua
1567	DOOR	door	puerta	porta, portão	xehpoti	Capanahua
323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa	gordura	xeni	Capanahua
1229	OLD	old	viejo	velho	xeni, paxte	Capanahua
506	MAIZE	maize	maíz	milho	xequi	Capanahua
1380	TOOTH	tooth	dientes	dente	xeta	Capanahua
1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar	xetequin	Capanahua
1252	HOUSE	house	casa	casa	xobo	Capanahua
275	PEEL	peel	pelar	descascar	xocaquin, rashpéquin	Capanahua
1592	CHEST	chest	pecho	peito	xochi	Capanahua
1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR	xohiquin	Capanahua
2102	BURN	burn	quemar, arder	queimar	xohiquin, requeni, mapohi, cohaquin	Capanahua
1382	NEEDLE (FOR SEWING)	needle (for sewing)	aguja	agulha	xohmox	Capanahua
1402	BREAST	breast	teta, seno, pechos	seio, mama	xoma, chocho	Capanahua
960	WIND	wind	viento 	vento	xoó, nihue	Capanahua
175	BLOW (OF WIND)	blow (of wind)	soplar	soprar	xoonhahquin	Capanahua
1452	PUSH	push	empujar	empurrar	xotonquin, hueranquin	Capanahua
1588	TURN	turn	virar, girar	virar	yabiquin, mayaquin, bobiquin	Capanahua
1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha	yahtanquin, comespoquin	Capanahua
1660	LOSE	lose	perder		yamajaquin, manómaquin	Capanahua
11	DARKNESS	darkness	oscuridad, tinieblas	escuridão	yame, bahquish	Capanahua
706	DARK	dark	oscuro	escuro	yameni, tashini, meshoni, huiso	Capanahua
729	DAWN	dawn	madrugada	amanhecer	yamequiri, hihari	Capanahua
677	AXE	axe	hacha	machado	yami, rohue	Capanahua
1897	HELP	help	ayudar	ajudar	yanapanquin	Capanahua
837	BLUE	blue	azul	azul	yancon	Capanahua
1425	GREEN	green	verde (color)	verde	yancon, xoo	Capanahua
227	FISH	fish	pez, pescado	peixe	yapa, tsatsa	Capanahua
907	OLD WOMAN	old woman	mujer vieja	velha	yocabo	Capanahua
1828	ASK (REQUEST)	ask (request)	pedir	pedir	yocaquin	Capanahua
1309	ASK (INQUIRE)	ask (inquire)	preguntar	perguntar	yocaquin	Capanahua
919	CHILI PEPPER	chili pepper	ají	malagueta	yochi	Capanahua
925	CASSAVA	cassava	yuca	tapioca	yoha, hatsa	Capanahua
619	ANIMAL	animal	animal	animal, bicho	yohinah	Capanahua
1458	SAY	say	decir	dizer	yohiquin, hahquin	Capanahua
1232	WARM	warm	tibio, cálido	quente, cálido	yoho	Capanahua
1623	SPEAK	speak	hablar	falar (palavras)	yohuani, yohiquin	Capanahua
1161	THREAD	thread	hilo	linha, fio	yomen	Capanahua
121	SPIN	spin	hilar	fiar	yomenjaquin, toroxahquin	Capanahua
1435	HUNT	hunt	cazar	caçar	yomeraquin, hahquin	Capanahua
713	STEAL	steal	robar	roubar	yometsohti	Capanahua
3472	DANCE (MOVEMENT)	dance (movement)	danza		yora	Capanahua
1973	DEMON	demon	demonio	demônio	yoshin	Capanahua
1175	GHOST	ghost	fantasma, espíritu	fantasma	yoshin, caya	Capanahua
1239	HOW	how	¿cómo?	como?		
1238	WHEN	when	¿cuándo?	quando?		
1237	WHERE	where	¿dónde?	onde?		
1236	WHAT	what	¿qué?	que?		
1235	WHO	who	¿quién?	quem?		
1496	GRANDMOTHER	grandmother	abuela	avó		
1383	GRANDFATHER	grandfather	abuelo	avô		
1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)		
762	OUTSIDE	outside	afuera, fuera, exterior	fora		
1631	FAST	fast	ágil	rápido, ligeiro		
1667	HOLE	hole	agujero	buraco		
1243	WIDE	wide	ancho, amplio	largo		
2259	FLESH	flesh	carne	carne		
2615	FLESH OR MEAT	flesh or meat	carne	carne		
667	ROAD	road	carretera	estrada, caminho		
860	CAUSE	cause	causar	causa		
1583	BRAIN	brain	cerebro, sesos	cérebro, miolos		
1860	BEAD	bead	chaquira, abalorio	contas, miçanga		
772	BELT	belt	cinturón, faja	cinto		
269	COOKED	cooked	cocido, cocinado	cozinhado, cozido		
1645	SHORT	short	corto	curto		
1575	COCKROACH	cockroach	cucaracha	barata		
1480	BODY	body	cuerpo	corpo		
1444	TURN AROUND	turn around	dar vuelta, voltear	voltar, dar a volta		
2866	DROP (SOMETHING)	drop (something)	dejar caer	deixar cair		
1784	WANT	want	desear (querer)	querer		
681	DESTROY	destroy	destruir	destruir		
2504	DIFFERENT	different	diferente			
1783	PAIN	pain	dolor	dor		
1840	BUILD	build	edificar	construir		
76	YOUNG MAN	young man	el joven	rapaz		
855	SEIZE	seize	embargar	pegar		
737	LIGHT (IGNITE)	light (ignite)	encender	acender, atear		
1942	NEAR	near	está cerca	perto, próximo		
1267	NARROW	narrow	estrecho, angosto	estreito		
1418	DIG	dig	excavar, cavar	cavar, escavar		
690	BOTTOM	bottom	fondo	fundo		
123	FOREHEAD	forehead	frente (la)	testa, fronte		
3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong	fuerte, poderoso	forte, poderoso		
1005	TWINS	twins	gemelos	gêmeos		
2409	BROWN	brown	moreno			
715	SHOUT	shout	grito (chillar)	gritar		
363	DWELL (LIVE, RESIDE)	dwell (live,  reside)	habitar, vivir	morar, residir		
307	HAWK	hawk	halcón	gavião		
1864	HUNGER	hunger	hambre	fome		
1758	OLDER SISTER	older sister	hermana mayor	irmã mais velha		
1761	YOUNGER SISTER	younger sister	hermana menor	irmã mais nova		
1759	OLDER BROTHER	older brother	hermano mayor	irmão mais velho		
1760	YOUNGER BROTHER	younger brother	hermano menor	irmão mais novo		
606	GRASS	grass	hierba, pasto	grama		
1149	ORPHAN	orphan	huérfano/ huérfana	órfão/órfã		
411	GOURD	gourd	jícara	cabaça		
77	YOUNG WOMAN	young woman	jóven mujer	moça		
682	SIDE	side	lado, costado	lado		
1048	CALL	call	línea	linha		
320	LAME	lame	lisiado	coxo		
640	MUD	mud	lodo	lama, lodo		
723	PLACE (POSITION)	place (position)	lugar, sitio	espaço, lugar		
221	FIRE	fire	fuego	fogo		
1803	WOOD	wood	madera	madeira		
1339	MORNING	morning	madrugada	manhã		
2144	SPRING OR WELL	spring or well	manantial, pozo	nascente, poço		
225	PESTLE	pestle	mano de mortero	socador (do pilão)		
806	BLANKET	blanket	manta	cobertor		
1720	SIGN	sign	marca			
1199	WIFE	wife	marida, esposa	esposa, mulher		
3780	PET	pet	mascota			
1372	MEDICINE	medicine	medicina, remedio	medicamento, remédio		
601	LIE (MISLEAD)	lie (mislead)	mentir (mentira)	mentir		
1510	CHIN	chin	barbilla, mentón	queixo		
2017	MIX	mix	mezclar, mixturar	misturar, mexer		
781	FEAR (FRIGHT)	fear (fright)	miedo	medo, susto		
816	HALF	half	mitad	metade		
1350	MONKEY	monkey	mono/s	macaco		
1821	BRUSH	brush	cepillo	escova		
471	UPPER LEG (THIGH)	upper leg (thigh)	muslo	coxa		
1711	TELL	tell	contar, narrar	dizer		
249	FOG	fog	niebla	névoa		
1289	BABY	baby	bebé	lactente		
739	FEED	feed	nutrir			
1587	SMELL (STINK)	smell (stink)	heder, apestar, oler mal	cheirar		
2297	DUSK	dusk	anochecer, atardecer			
505	PARENTS	parents	padres	pais		
652	PLAIN	plain	llanura, campo	campo, planície, savannah		
882	PARROT	parrot	papagayo	papagaio		
593	POTATO	potato	papa	batata		
1845	BALL	ball	pelota, esfera, globo	esfera, bola		
1415	THINK (REFLECT)	think (reflect)	pensar (cogitar)	pensar		
195	MAT	mat	petate	tapete		
256	FOOD	food	comida	alimento		
1442	STAND	stand	poner(se) de pie	levantar-se		
281	POST	post	poste	poste, vara		
2295	SUNSET	sunset	atardecer, puesta de sol			
232	FLEA	flea	pulga	pulga		
1690	FENCE	fence	quitamiedos	cerca		
1490	RAT	rat	rata	RATO		
1827	HARVEST CROPS	harvest crops	cosechar			
7	GATHER	gather	colectar, reunir, compilar, recopilar	colecionar, reunir		
388	FISHNET	fishnet	red, atarraya	rede de pesca		
1407	BREATHE	breathe	respirar	respirar		
696	STIR	stir	revolver			
379	BLUNT	blunt	embotado, romo	embotado, rombudo		
1735	TEAR (SHRED)	tear (shred)	romper, rasgar	romper, rasgar		
1182	NOISE	noise	ruido			
377	LOUD	loud	ruidoso	ruidoso, barulhento		
1752	LEAVE	leave	marcharse, irse, quitarse	partir, ir-se embora		
499	CURE	cure	curar	sarar, curar		
695	GO	go	ir	ir		
1090	BE BORN	be born	nacer	nascer		
1416	SIT	sit	sentado	sentar-se		
1719	BURY	bury	sepultar	enterrar		
641	MUSHROOM	mushroom	seta	cogumelo		
1886	ARMPIT	armpit	sobaco, axila	axila, sovaco		
129	CHOKE	choke	sofocar	sufocar		
1234	SMOOTH	smooth	liso	liso, macio		
25	DIRT	dirt	suciedad			
2506	LOOSE	loose	suelto			
769	ROOF	roof	techo	telhado, teto		
3294	BRAID (VERB) OR WEAVE (BASKET)	braid (verb) or weave (basket)	trenzar, tejer	tecer		
1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar		
162	HICCOUGH	hiccough	tener hipo	soluço		
549	COPULATE	copulate	tirar, tener relaciones sexuales	ter relações sexuais		
6	FILL	fill	terremoto	terremoto		
1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo		
1207	YOUNG	young	jóven	jovem, novo		
1327	UNCLE	uncle	tío	tio		
3696	THROW AWAY	throw away	tirar			
1172	SHOOT	shoot	tirar, disparar	disparar, fuzilar		
1455	PULL	pull	jalar	puxar		
1233	NIGHT	night	noche	noite		
1401	DRINK	drink	beber, tomar	beber, tomar		
699	SAD	sad	triste	TRISTE (ZA)		
1241	SOME	some	alguno, pocos	alguns		
72	CLAW	claw	pezuña	unha		
700	CARRY	carry	cargar	levar		
1836	VAGINA	vagina	vagina	vagina		
1554	MAN	man	varón, hombre	homem		
2106	MALE PERSON	male person	varón, macho			
1159	FART	fart	pedo	peido		
730	SNAKE	snake	serpiente	cobra		
406	OLD MAN	old man	viejo	velho		
1524	ACCOMPANY	accompany	acompañar	vinho		
1629	EVENING	evening	anochecer	tarde		
1504	FLY (INSECT)	fly (insect)	mosca	mosca		
581	COME BACK	come back	volver, regresar	voltar, regressar		
1213	YOU	you	ustedes	vós		
1446	COME	come	venir	vir		
1253	RAIN (RAINING)	rain (raining)				
3320	SNARE (TRAP)	snare (trap)				
2319	LID (COVER, CAP)	lid (cover, cap)				
1195	GIVE BIRTH	give birth		parir		
3020	BREAK (BREAKING)	break (breaking)		quebrar(-se) / romper(-se)		
3452	MUCH	much				
2327	BECOME SICK	become sick				
423	GET LOST	get lost		PERDER-SE		
612	HEAT	heat				
3347	HIGH OR UP	high or up				
2159	GROUND	ground				
3603	EARTH OR LAND	earth or land		TERRA / PAÍS		
3463	RIVERBANK	riverbank				
2341	CLOUDY	cloudy				
2324	GET WET	get wet				
2069	SOAK (VERB)	soak (verb)				
143	HUMID	humid				
2015	MAKE DRY	make dry				
1625	DEAD	dead		morto		
2907	ROT	rot				
3287	BLOOM	bloom				
675	FAECES (EXCREMENT)	faeces (excrement)		fezes		
2613	SKIN (HUMAN)	skin (human)				
2486	HIDE	hide		ESCONDER		
2614	SKIN (ANIMAL)	skin (animal)				
3923	FEMALE ANIMAL	female animal				
3924	MALE ANIMAL	male animal				
3609	TOWN OR VILLAGE	town or village		cidade pequena ou vila		
2390	PECCARY	peccary				
1129	PAINFUL	painful				
2561	HURT (SENSE PAIN)	hurt (sense pain)				
3883	NOISY	noisy				
2113	OLD (USED)	old (used)				
2112	OLD (AGED)	old (aged)				
179	RIPEN	ripen				
3701	HOLLOW	hollow				
2790	HIGH OR TALL	high or tall				
2652	BROAD OR WIDE	broad or wide				
2248	KNOW (SOMEBODY)	know (somebody)				
3861	FAIL	fail				
2223	BE ANGRY	be angry				
2215	BECOME ANGRY	become angry				
3749	HATE (LOATHING)	hate (loathing)				
1615	ESCAPE	escape				
1955	GRIEVE	grieve				
3898	ACCEPT	accept				
1041	INCREASE	increase				
689	BETWEEN	between				
1741	ABOVE	above		encima		
1512	RISE (ONESELF)	rise (oneself)				
57	ATOP	atop		sobre		
750	DROP	drop				
463	FELL (A TREE)	fell (a tree)				
2912	FORWARD	forward				
2911	BACKWARD	backward				
870	BREATH	breath		hálito		
2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)				
3913	COUGH (ACT OF COUGHING)	cough (act of coughing)				
3174	WAKE UP (SOMEONE)	wake up (someone)				
2492	BOIL (SOMETHING)	boil (something)				
282	POLE	pole				
1434	STAB	stab				
165	CHOP	chop				
3224	WRING	wring				
1473	FIST	fist				
1520	CRUSH	crush				
904	BERRY	berry				
2110	WARM (OF WEATHER)	warm (of weather)				
