CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	Form
1452	PUSH	push	itusha
1220	TAIL	tail	iwa
1590	WAIT (FOR)	wait (for)	iwa
1084	CALL	call	iwara
2907	ROT	rot	iwina, riri
998	PUT	put	iya
1752	LEAVE	leave	iya, jaka, shana
1376	NOW	now	iyaja, riyakama
1417	KILL	kill	iye
1256	HEAD	head	iyuka
923	LOVE	love	iyuwe
1892	TOUCH	touch	jaba
677	AXE	axe	jacha
1577	AND	and	jadya
1554	MAN	man	jadya
227	FISH	fish	jae
2638	FISHING	fishing	jae ju-, wikamutya ju-
1906	SOUR	sour	jaku
1185	VULTURE	vulture	jamani
1761	YOUNGER SISTER	younger sister	jana
1406	FAR	far	japa
1791	BUTTERFLY	butterfly	japipi
1411	LIE (REST)	lie (rest)	jara
1129	PAINFUL	painful	jari, ujera
1728	ROTTEN	rotten	jasa
1052	LIGHT (WEIGHT)	light (weight)	jata
1760	YOUNGER BROTHER	younger brother	jau
1424	YELLOW	yellow	jawa
179	RIPEN	ripen	jawane, jawawa
3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong	jebu, kasa, weni
785	STRONG	strong	jebu, kasa, weni
1621	SNEEZE	sneeze	jechiu ju
136	HERE	here	jee, re, riya
1268	YES	yes	jejee
1633	FLAT	flat	jepe
1261	SING	sing	jeru
1096	SONG	song	jerujeru
1574	FLOAT	float	jeta
1441	FLY (MOVE THROUGH AIR)	fly (move through air)	jeta
1198	MANY	many	jetiama, umada
1035	GOOD	good	ji-
380	WRINKLED	wrinkled	jibijibi, ribiribi
544	SPICY	spicy	jiji
141	BURN (SOMETHING)	burn (something)	jiji, tiru, juju
1244	THICK	thick	jika, misi, time
1432	CUT	cut	jikwi
1778	APPROACH	approach	jipe, sita
2124	SMELL	smell	jiru
1539	BASKET	basket	jiti
1458	SAY	say	ju
549	COPULATE	copulate	jucha a
1360	DUCK	duck	juje, shiwishiwi
323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	juji, tseri
2506	LOOSE	loose	juku, tseka
1203	LONG	long	junu-
2003	FLOW	flow	juri, rururu
1446	COME	come	kabeti
1278	VOMIT	vomit	kadakati
695	GO	go	kadujuti
129	CHOKE	choke	kajiruti
1917	TIE	tie	kaka, kere, piruri, risi
1580	ONLY	only	kamadya, tere
1407	BREATHE	breathe	kana, kanajeti
168	REST	rest	kanajara
1667	HOLE	hole	kani
962	WOMAN	woman	kapunati
1403	BITE	bite	karu
1996	GET TIRED	get tired	kastere
602	HIDE (CONCEAL)	hide (conceal)	katewa ju-, tewa
1423	FIGHT	fight	kati
1571	SELL	sell	katyati
2215	BECOME ANGRY	become angry	kawaiti
715	SHOUT	shout	keke, kike
1869	BUY	buy	kemi
492	THREE	three	kimisha
1243	WIDE	wide	kini
1156	OPEN	open	kisha, pakasha
1803	WOOD	wood	kububu
1337	PIG	pig	kuchi
908	DRUM	drum	kumukumu
159	SWEET POTATO	sweet potato	kunukaji, anuai
882	PARROT	parrot	kurakwa
321	CHEW	chew	kuru
1216	MOTHER	mother	kwaa
1970	CANOE	canoe	kwaba
1127	SEND	send	kwadisha
10	FIREWOOD	firewood	kwati
925	CASSAVA	cassava	kwawe
1159	FART	fart	kweji
960	WIND	wind	kwejiji
463	FELL (A TREE)	fell (a tree)	kwere
155	CHOP	chop	kwere, tubu
666	RIVER	river	kweri
1396	SHARP	sharp	kweru
251	SHARPEN (SOMETHING)	sharpen (something)	kwerutura
678	BEARD	beard	kwesa
1175	GHOST	ghost	kweya
124	THORN	thorn	kwija
1195	GIVE BIRTH	give birth	kwina
1090	BE BORN	be born	kwinana
1107	GO OUT	go out	kwinana
1494	DIE	die	maju
857	STONE	stone	makana
1358	ENEMY	enemy	makei
388	FISHNET	fishnet	malla
1482	SHOULDER	shoulder	mapa
1226	YEAR	year	mara
178	RIPE	ripe	mare
3653	COOKING POT	cooking pot	marikaka
2468	BAG	bag	mariku, shitara, shurumai
1884	HARD	hard	masa, paji
1624	EMPTY	empty	mema
371	PICK UP	pick up	mepe
7	GATHER	gather	mepe, rada, sika
1086	WORK (ACTIVITY)	work (activity)	mere
72	CLAW	claw	meshuru
1329	TOMORROW	tomorrow	metajudya
1374	RING	ring	metara
1277	HAND	hand	metuku
1215	THOU	thou	mi, mia
1433	HIT	hit	miri
1208	CAT	cat	mishi
739	FEED	feed	miwa
1234	SMOOTH	smooth	mumi, shabi
2	DUST	dust	muru
2069	SOAK (VERB)	soak (verb)	murya
1455	PULL	pull	mutsu, repe, tinu
606	GRASS	grass	muwawa, nutsa
1758	OLDER SISTER	older sister	naji, nasi
2324	GET WET	get wet	nakata
1289	BABY	baby	nana
1231	NEW	new	nana
1207	YOUNG	young	nana
138	BATHE	bathe	nawi
658	RAIN (PRECIPITATION)	rain (precipitation)	nei
1674	POOR	poor	nereka
1442	STAND	stand	neti, nitya
1463	DRUNK	drunk	nijuki
749	ENTER	enter	nubi
1839	CRY	cry	pa
1335	WHITE	white	paja
1280	FALL	fall	pajaka, riwi
1437	SPLIT	split	patsa
887	BITTER	bitter	patse
1493	ONE	one	peadya
360	FAN (ACTION)	fan (action)	pei
682	SIDE	side	pere
1819	LOOK	look	peta
2492	BOIL (SOMETHING)	boil (something)	petutu, sapa
699	SAD	sad	peyainime
1043	BRAID	braid	pika
52	SHIVER	shiver	piriri, tadada
352	UNTIE	untie	pisu
977	ARROW	arrow	piya
1913	PRESS	press	pudi
704	CLEAN	clean	pupi
735	OWL	owl	pupu
1418	DIG	dig	puru
601	LIE (MISLEAD)	lie (mislead)	pusha a-
1222	PENIS	penis	pusi
1398	DRY	dry	rara, ura
1094	FASTEN	fasten	risi
696	STIR	stir	ruke, taru
1174	YESTERDAY	yesterday	ryabarepa
2070	COMB (VERB)	comb (verb)	ryu
1468	LOOK FOR	look for	sare
680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	sarutana, siri
1425	GREEN	green	sawa
1959	RAW	raw	sawa
163	BLACK	black	sewe
1856	SOFT	soft	shabi
1173	EYEBROW	eyebrow	shipi
1324	SLIP	slip	shudiritana
1476	CHAIR	chair	silla
249	FOG	fog	sisewani
1936	DEER	deer	siwa, dukweri
1421	SUCK	suck	susu
1838	NAVEL	navel	suu
1542	ACCOMPANY	accompany	taji
1733	RAINBOW	rainbow	tajina
1654	LIGHTNING	lightning	tajita
275	PEEL	peel	taka
1318	CHICKEN	chicken	takure
2319	LID (COVER, CAP)	lid (cover, cap)	tapa
1983	SNORE	snore	tarara
1217	FATHER	father	tata
1585	SLEEP	sleep	tawi
1920	DREAM (SOMETHING)	dream (something)	tawi ju
1449	RUB	rub	tedi
1172	SHOOT	shoot	tekwa, mare
1046	SHUT	shut	teri
1686	BEHIND	behind	tibene
127	EXTINGUISH	extinguish	tikwa
670	ROOT	root	tiri
843	SPIDER	spider	tiriri
1218	ROPE	rope	tisu
1355	LAUGH	laugh	tsaa-
1519	RUN	run	tsajaja
38	SPREAD OUT	spread out	tsape
1923	ROUGH	rough	tseke
762	OUTSIDE	outside	tsekwe
1219	WORM	worm	tsena, tyunu
705	GO UP (ASCEND)	go up (ascend)	tsura
1182	NOISE	noise	tsuri
1363	VOICE	voice	tsuri
1831	MEET	meet	tsuru
1937	THERE	there	tume, tumi
1085	FOLLOW	follow	tupu
1457	SEW	sew	tutsu
1404	STRAIGHT	straight	tuyu
1447	GIVE	give	tya
1645	SHORT	short	tyubu
737	LIGHT (IGNITE)	light (ignite)	uda
630	LIGHT (RADIATION)	light (radiation)	uda
708	SHINE	shine	uda
2327	BECOME SICK	become sick	ujeje
1986	DISEASE	disease	ujeje
1847	SICK	sick	ujeje
1783	PAIN	pain	ujera
1759	OLDER BROTHER	older brother	uji, usi
879	COUGH	cough	ujuuju ju
612	HEAT	heat	uke
1286	HOT	hot	uke
1242	FEW	few	umae
1895	CLOTHES	clothes	una
619	ANIMAL	animal	upati, kwanubi
1453	WASH	wash	utsa
1486	PLANT (SOMETHING)	plant (something)	uwa
640	MUD	mud	uyuuyu
2390	PECCARY	peccary	waburasa, waburu
717	SWEET	sweet	waja
665	BEE	bee	waja, wanuwanu
1615	ESCAPE	escape	wana
956	FLEE	flee	wana
1199	WIFE	wife	wane
778	SMOKE (EXHAUST)	smoke (exhaust)	wani
203	MARRY	marry	wanya
1011	BRIDGE	bridge	warasha
2017	MIX	mix	wau
679	BRIGHT	bright	weka
729	DAWN	dawn	wekaka
1225	DAY (NOT NIGHT)	day (not night)	wekaka
1672	WRITE	write	wene
501	LIFT	lift	wesa
592	PISS	piss	wira
1142	URINE	urine	wira
1228	EARTH (SOIL)	earth (soil)	yawa
3603	EARTH OR LAND	earth or land	yawa
2159	GROUND	ground	yawa, uwa
1292	BAD	bad	yuama
1275	ANSWER	answer	
587	ANT	ant	
1387	ARRIVE	arrive	
2223	BE ANGRY	be angry	
1533	BE HUNGRY	be hungry	
1860	BEAD	bead	
2004	BEND	bend	
689	BETWEEN	between	
731	BEVERAGE	beverage	
937	BIRD	bird	
806	BLANKET	blanket	
175	BLOW (OF WIND)	blow (of wind)	
837	BLUE	blue	
379	BLUNT	blunt	
1366	BOY	boy	
2409	BROWN	brown	
1428	BURNING	burning	
1719	BURY	bury	
3208	CENTER OR MIDDLE	center or middle	
1188	CHARCOAL	charcoal	
1750	CHOOSE	choose	
1489	CLOUD	cloud	
2341	CLOUDY	cloudy	
1475	COMB	comb	
581	COME BACK	come back	
269	COOKED	cooked	
3913	COUGH (ACT OF COUGHING)	cough (act of coughing)	
3456	CRAWL OR CREEP	crawl or creep	
297	CROOKED	crooked	
1520	CRUSH	crush	
8	CURSE	curse	
3472	DANCE (MOVEMENT)	dance (movement)	
11	DARKNESS	darkness	
1625	DEAD	dead	
1973	DEMON	demon	
681	DESTROY	destroy	
1977	DEW	dew	
119	DIVE	dive	
813	DO	do	
2374	DREAM	dream	
750	DROP	drop	
2866	DROP (SOMETHING)	drop (something)	
981	ELBOW	elbow	
928	EMBRACE	embrace	
1629	EVENING	evening	
1540	EYELASH	eyelash	
675	FAECES (EXCREMENT)	faeces (excrement)	
3861	FAIL	fail	
3923	FEMALE ANIMAL	female animal	
1258	FINGERNAIL	fingernail	
232	FLEA	flea	
1594	FLOUR	flour	
777	FLUTE	flute	
1504	FLY (INSECT)	fly (insect)	
123	FOREHEAD	forehead	
1523	FORGET	forget	
2912	FORWARD	forward	
503	FROG	frog	
1429	FULL	full	
694	GET	get	
423	GET LOST	get lost	
1334	GUTS	guts	
1827	HARVEST CROPS	harvest crops	
3749	HATE (LOATHING)	hate (loathing)	
773	HAVE	have	
307	HAWK	hawk	
1341	HEAT UP	heat up	
980	HEEL	heel	
162	HICCOUGH	hiccough	
2486	HIDE	hide	
614	HILL	hill	
46	HOLLOW OUT	hollow out	
1239	HOW	how	
1864	HUNGER	hunger	
2561	HURT (SENSE PAIN)	hurt (sense pain)	
2411	HURT (SOMEBODY)	hurt (somebody)	
1883	IN FRONT OF	in front of	
1041	INCREASE	increase	
798	JAW	jaw	
1743	JOIN	join	
999	JOINT	joint	
1829	JUMP	jump	
66	KNEEL	kneel	
320	LAME	lame	
244	LEFT	left	
319	LICK	lick	
215	LIE DOWN	lie down	
632	LIZARD	lizard	
1660	LOSE	lose	
377	LOUD	loud	
506	MAIZE	maize	
2334	MELT	melt	
2827	MENSTRUATE	menstruate	
635	MILK	milk	
639	MOUNTAIN	mountain	
1491	MOUSE	mouse	
3452	MUCH	much	
641	MUSHROOM	mushroom	
1666	MUTE	mute	
590	NAKED	naked	
1267	NARROW	narrow	
208	NASAL MUCUS (SNOT)	nasal mucus (snot)	
1942	NEAR	near	
1333	NECK	neck	
1961	NECKLACE	necklace	
1240	NOT	not	
2112	OLD (AGED)	old (aged)	
2113	OLD (USED)	old (used)	
406	OLD MAN	old man	
907	OLD WOMAN	old woman	
1149	ORPHAN	orphan	
505	PARENTS	parents	
1576	PILE UP	pile up	
378	PINCH	pinch	
652	PLAIN	plain	
1413	PLAY	play	
593	POTATO	potato	
864	PUMPKIN	pumpkin	
1808	PUS	pus	
1253	RAIN (RAINING)	rain (raining)	
1490	RAT	rat	
156	RED	red	
1019	RIGHT	right	
1512	RISE (ONESELF)	rise (oneself)	
3463	RIVERBANK	riverbank	
1962	ROAST (SOMETHING)	roast (something)	
827	ROLL	roll	
769	ROOF	roof	
671	SAND	sand	
1767	SCRAPE	scrape	
714	SEED	seed	
855	SEIZE	seize	
1359	SEPARATE	separate	
231	SHAVE	shave	
1649	SIT DOWN	sit down	
2613	SKIN (HUMAN)	skin (human)	
1586	SMELL (PERCEIVE)	smell (perceive)	
1587	SMELL (STINK)	smell (stink)	
1689	SMOKE (INHALE)	smoke (inhale)	
1543	SNAIL	snail	
1241	SOME	some	
1623	SPEAK	speak	
121	SPIN	spin	
1440	SPIT	spit	
3080	SPLIT OPEN	split open	
2144	SPRING OR WELL	spring or well	
1414	SQUEEZE	squeeze	
1434	STAB	stab	
1430	STAR	star	
42	STINKING	stinking	
2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	
1342	SUMMER	summer	
1651	TEAR (OF EYE)	tear (of eye)	
78	THAT	that	
817	THEY	they	
738	THING	thing	
1415	THINK (REFLECT)	think (reflect)	
1214	THIS	this	
1161	THREAD	thread	
1150	THUNDER	thunder	
974	TOBACCO	tobacco	
1170	TRAP (CATCH)	trap (catch)	
1075	TRAP (PITFALL)	trap (pitfall)	
1657	TRUE	true	
1444	TURN AROUND	turn around	
1005	TWINS	twins	
1958	UNRIPE	unripe	
1591	UP	up	
471	UPPER LEG (THIGH)	upper leg (thigh)	
1836	VAGINA	vagina	
1837	VULVA	vulva	
3174	WAKE UP (SOMEONE)	wake up (someone)	
1784	WANT	want	
1232	WARM	warm	
133	WEAVE	weave	
1236	WHAT	what	
1238	WHEN	when	
1237	WHERE	where	
1025	WHISTLE	whistle	
1235	WHO	who	
1454	WIPE	wipe	
1340	WITH	with	
1109	WOUND	wound	
3224	WRING	wring	
1213	YOU	you	
76	YOUNG MAN	young man	
77	YOUNG WOMAN	young woman	
