CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH
1149	ORPHAN	orphan
2009	DOG	dog
1793	BAT	bat
735	OWL	owl
730	SNAKE	snake
632	LIZARD	lizard
112	TURTLE	turtle
503	FROG	frog
1543	SNAIL	snail
587	ANT	ant
942	HONEY	honey
1517	WASP	wasp
843	SPIDER	spider
1509	MOSQUITO	mosquito
1791	BUTTERFLY	butterfly
1936	DEER	deer
1208	CAT	cat
1337	PIG	pig
1318	CHICKEN	chicken
1360	DUCK	duck
307	HAWK	hawk
1185	VULTURE	vulture
882	PARROT	parrot
996	DEAF	deaf
1666	MUTE	mute
320	LAME	lame
1463	DRUNK	drunk
1783	PAIN	pain
1278	VOMIT	vomit
1808	PUS	pus
499	CURE	cure
1372	MEDICINE	medicine
1819	LOOK	look
630	LIGHT (RADIATION)	light (radiation)
708	SHINE	shine
706	DARK	dark
11	DARKNESS	darkness
837	BLUE	blue
42	STINKING	stinking
319	LICK	lick
717	SWEET	sweet
1906	SOUR	sour
1892	TOUCH	touch
1884	HARD	hard
3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong
1856	SOFT	soft
1631	FAST	fast
1923	ROUGH	rough
1234	SMOOTH	smooth
38	SPREAD OUT	spread out
1210	HEAVY	heavy
1324	SLIP	slip
406	OLD MAN	old man
1207	YOUNG	young
178	RIPE	ripe
1959	RAW	raw
1624	EMPTY	empty
46	HOLLOW OUT	hollow out
1203	LONG	long
1633	FLAT	flat
1244	THICK	thick
1292	BAD	bad
1415	THINK (REFLECT)	think (reflect)
707	REMEMBER	remember
1523	FORGET	forget
1920	DREAM (SOMETHING)	dream (something)
781	FEAR (FRIGHT)	fear (fright)
1468	LOOK FOR	look for
1831	MEET	meet
1750	CHOOSE	choose
1719	BURY	bury
1564	LAZY	lazy
1897	HELP	help
956	FLEE	flee
923	LOVE	love
1828	ASK (REQUEST)	ask (request)
1309	ASK (INQUIRE)	ask (inquire)
1307	LANGUAGE	language
1657	TRUE	true
715	SHOUT	shout
1839	CRY	cry
1025	WHISTLE	whistle
855	SEIZE	seize
1447	GIVE	give
1869	BUY	buy
1571	SELL	sell
301	CHIEFTAIN	chieftain
1127	SEND	send
811	SOUL	soul
1413	PLAY	play
908	DRUM	drum
777	FLUTE	flute
1261	SING	sing
1879	DANCE	dance
1198	MANY	many
98	ALL	all
816	HALF	half
3208	CENTER OR MIDDLE	center or middle
1493	ONE	one
1498	TWO	two
492	THREE	three
1500	FOUR	four
493	FIVE	five
1580	ONLY	only
1174	YESTERDAY	yesterday
1329	TOMORROW	tomorrow
1374	RING	ring
1845	BALL	ball
1404	STRAIGHT	straight
297	CROOKED	crooked
1442	STAND	stand
1576	PILE UP	pile up
723	PLACE (POSITION)	place (position)
363	DWELL (LIVE, RESIDE)	dwell (live,  reside)
682	SIDE	side
1019	RIGHT	right
244	LEFT	left
1446	COME	come
692	BRING	bring
1752	LEAVE	leave
1359	SEPARATE	separate
1443	WALK	walk
765	MOVE	move
1606	INSIDE	inside
749	ENTER	enter
762	OUTSIDE	outside
1591	UP	up
705	GO UP (ASCEND)	go up (ascend)
501	LIFT	lift
1753	TOP	top
1485	BELOW OR UNDER	below or under
2014	GO DOWN (DESCEND)	go down (descend)
1686	BEHIND	behind
1291	BACK	back
1942	NEAR	near
52	SHIVER	shiver
1909	SHAKE	shake
3456	CRAWL OR CREEP	crawl or creep
1441	FLY (MOVE THROUGH AIR)	fly (move through air)
1519	RUN	run
1439	SWIM	swim
1456	THROW	throw
1421	SUCK	suck
879	COUGH	cough
162	HICCOUGH	hiccough
1983	SNORE	snore
168	REST	rest
1602	WAKE UP	wake up
731	BEVERAGE	beverage
256	FOOD	food
1403	BITE	bite
321	CHEW	chew
897	SWALLOW	swallow
1594	FLOUR	flour
404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)
212	FIELD	field
1486	PLANT (SOMETHING)	plant (something)
7	GATHER	gather
1011	BRIDGE	bridge
1970	CANOE	canoe
1690	FENCE	fence
1252	HOUSE	house
1567	DOOR	door
1476	CHAIR	chair
195	MAT	mat
3653	COOKING POT	cooking pot
1539	BASKET	basket
772	BELT	belt
352	UNTIE	untie
133	WEAVE	weave
1382	NEEDLE (FOR SEWING)	needle (for sewing)
590	NAKED	naked
1961	NECKLACE	necklace
1475	COMB	comb
1085	FOLLOW	follow
1435	HUNT	hunt
1172	SHOOT	shoot
945	SPEAR	spear
1075	TRAP (PITFALL)	trap (pitfall)
1455	PULL	pull
213	SHAVE	shave
1672	WRITE	write
318	FOOTPRINT	footprint
1743	JOIN	join
1735	TEAR (SHRED)	tear (shred)
677	AXE	axe
1033	GRIND	grind
680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)
121	SPIN	spin
1444	TURN AROUND	turn around
827	ROLL	roll
928	EMBRACE	embrace
2017	MIX	mix
1325	FRIEND	friend
1209	I	i
1215	THOU	thou
1213	YOU	you
817	THEY	they
1268	YES	yes
1269	NO	no
1235	WHO	who
1236	WHAT	what
1237	WHERE	where
1157	BECAUSE	because
1418	DIG	dig
1242	FEW	few
249	FOG	fog
1239	HOW	how
1229	OLD	old
667	ROAD	road
1449	RUB	rub
1396	SHARP	sharp
1645	SHORT	short
1416	SIT	sit
1212	WE	we
1238	WHEN	when
1243	WIDE	wide
2272	HOT OR WARM	hot or warm
857	STONE	stone
2457	PATH OR ROAD	path or road
2252	PATH	path
1491	MOUSE	mouse
1490	RAT	rat
639	MOUNTAIN	mountain
614	HILL	hill
1253	RAIN (RAINING)	rain (raining)
2108	RAINING OR RAIN	raining or rain
1827	HARVEST CROPS	harvest crops
1844	BOAT	boat
2468	BAG	bag
388	FISHNET	fishnet
2638	FISHING	fishing
1170	TRAP (CATCH)	trap (catch)
3320	SNARE (TRAP)	snare (trap)
2319	LID (COVER, CAP)	lid (cover, cap)
1195	GIVE BIRTH	give birth
3020	BREAK (BREAKING)	break (breaking)
719	FIND	find
1341	HEAT UP	heat up
1433	HIT	hit
3452	MUCH	much
699	SAD	sad
2327	BECOME SICK	become sick
2493	BOIL	boil
1407	BREATHE	breathe
2531	BROAD	broad
2102	BURN	burn
1494	DIE	die
423	GET LOST	get lost
1175	GHOST	ghost
2019	HAMMOCK	hammock
612	HEAT	heat
3347	HIGH OR UP	high or up
999	JOINT	joint
2506	LOOSE	loose
1531	BRANCH	branch
2334	MELT	melt
505	PARENTS	parents
371	PICK UP	pick up
1649	SIT DOWN	sit down
785	STRONG	strong
78	THAT	that
2308	THIN	thin
124	THORN	thorn
25	DIRT	dirt
2159	GROUND	ground
3603	EARTH OR LAND	earth or land
2296	SUNRISE	sunrise
2295	SUNSET	sunset
666	RIVER	river
3463	RIVERBANK	riverbank
2341	CLOUDY	cloudy
2324	GET WET	get wet
2069	SOAK (VERB)	soak (verb)
143	HUMID	humid
119	DIVE	dive
1786	DRY UP	dry up
2015	MAKE DRY	make dry
2297	DUSK	dusk
1422	BE ALIVE	be alive
1625	DEAD	dead
2907	ROT	rot
3287	BLOOM	bloom
1803	WOOD	wood
593	POTATO	potato
66	KNEEL	kneel
675	FAECES (EXCREMENT)	faeces (excrement)
1836	VAGINA	vagina
1837	VULVA	vulva
1142	URINE	urine
1251	BELLY	belly
1334	GUTS	guts
2613	SKIN (HUMAN)	skin (human)
2486	HIDE	hide
2614	SKIN (ANIMAL)	skin (animal)
3923	FEMALE ANIMAL	female animal
2106	MALE PERSON	male person
3924	MALE ANIMAL	male animal
3609	TOWN OR VILLAGE	town or village
3780	PET	pet
232	FLEA	flea
1250	JAGUAR	jaguar
2390	PECCARY	peccary
1986	DISEASE	disease
1129	PAINFUL	painful
2561	HURT (SENSE PAIN)	hurt (sense pain)
2411	HURT (SOMEBODY)	hurt (somebody)
2409	BROWN	brown
377	LOUD	loud
3883	NOISY	noisy
1182	NOISE	noise
1586	SMELL (PERCEIVE)	smell (perceive)
2124	SMELL	smell
21	TASTE (SOMETHING)	taste (something)
544	SPICY	spicy
251	SHARPEN (SOMETHING)	sharpen (something)
2113	OLD (USED)	old (used)
2112	OLD (AGED)	old (aged)
179	RIPEN	ripen
269	COOKED	cooked
6	FILL	fill
3701	HOLLOW	hollow
2790	HIGH OR TALL	high or tall
2652	BROAD OR WIDE	broad or wide
2271	THINK	think
2248	KNOW (SOMEBODY)	know (somebody)
1660	LOSE	lose
3861	FAIL	fail
2374	DREAM	dream
1419	FEAR (BE AFRAID)	fear (be afraid)
1590	WAIT (FOR)	wait (for)
2223	BE ANGRY	be angry
2215	BECOME ANGRY	become angry
3749	HATE (LOATHING)	hate (loathing)
1358	ENEMY	enemy
1615	ESCAPE	escape
2142	RUN AWAY	run away
2117	DESIRE	desire
1275	ANSWER	answer
1363	VOICE	voice
1711	TELL	tell
3230	DECEIVE	deceive
1048	CALL	call
1955	GRIEVE	grieve
8	CURSE	curse
773	HAVE	have
694	GET	get
3898	ACCEPT	accept
1448	HOLD	hold
1674	POOR	poor
860	CAUSE	cause
1086	WORK (ACTIVITY)	work (activity)
1096	SONG	song
3472	DANCE (MOVEMENT)	dance (movement)
1041	INCREASE	increase
689	BETWEEN	between
1005	TWINS	twins
1741	ABOVE	above
1512	RISE (ONESELF)	rise (oneself)
57	ATOP	atop
690	BOTTOM	bottom
1326	DOWN	down
750	DROP	drop
2866	DROP (SOMETHING)	drop (something)
463	FELL (A TREE)	fell (a tree)
1883	IN FRONT OF	in front of
2912	FORWARD	forward
2911	BACKWARD	backward
1778	APPROACH	approach
3696	THROW AWAY	throw away
870	BREATH	breath
2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)
1689	SMOKE (INHALE)	smoke (inhale)
129	CHOKE	choke
3913	COUGH (ACT OF COUGHING)	cough (act of coughing)
1996	GET TIRED	get tired
3174	WAKE UP (SOMEONE)	wake up (someone)
1533	BE HUNGRY	be hungry
739	FEED	feed
1962	ROAST (SOMETHING)	roast (something)
2492	BOIL (SOMETHING)	boil (something)
3294	BRAID (VERB) OR WEAVE (BASKET)	braid (verb) or weave (basket)
976	WEAR	wear
1860	BEAD	bead
2012	COLLAR	collar
2070	COMB (VERB)	comb (verb)
1043	BRAID	braid
1047	PURSUE	pursue
1295	STICK	stick
282	POLE	pole
1434	STAB	stab
1720	SIGN	sign
1094	FASTEN	fasten
681	DESTROY	destroy
3080	SPLIT OPEN	split open
165	CHOP	chop
3224	WRING	wring
1473	FIST	fist
1520	CRUSH	crush
225	PESTLE	pestle
1588	TURN	turn
696	STIR	stir
813	DO	do
1840	BUILD	build
1340	WITH	with
1524	ACCOMPANY	accompany
2504	DIFFERENT	different
1240	NOT	not
1214	THIS	this
136	HERE	here
1937	THERE	there
1577	AND	and
904	BERRY	berry
379	BLUNT	blunt
2003	FLOW	flow
1040	HAIR	hair
1411	LIE (REST)	lie (rest)
2615	FLESH OR MEAT	flesh or meat
1241	SOME	some
2110	WARM (OF WEATHER)	warm (of weather)
1454	WIPE	wipe
